question_number,question,option_a,option_b,option_c,option_d,correct_answer
40,"En una calzada (pavimento) sin señalización, puede estacionar en:","El costado derecho, atento al sentido de circulación, y a no menos de 5 m de la senda peatonal demarcada o imaginaria.","En el costado izquierdo, atento al sentido de circulación, y a no menos de 5 m de la senda peatonal demarcada o imaginaria.","Es indistinto, puedo hacerlo donde exista espacio.","",a
41,"Ud. conductor, utiliza las luces altas:","Cuando la luz natural es insuficiente.","En cualquier momento.","De manera excepcional cuando las situaciones del tránsito lo requieran, cambiando a luz baja al cruce con otro vehículo que circula de frente y cuando me aproximo al vehículo que circula delante de mí.","",c
42,"¿Hay que encender las luces de giro siempre que se produzca un cambio de carril?","No, solamente si es de noche.","Sí, tanto de día como de noche para efectuar todo cambio de carril.","","",b
43,"¿Está permitido mientras conduzco utilizar sistema de comunicación telefónica manual?","Sí.","No.","","",b
44,"En la Ciudad de Córdoba es obligatorio que los menores de 10 años viajen:","En el asiento delantero, sujetados con cinturón de seguridad.","En el asiento trasero, sujetados con cinturón de seguridad.","Es indistinto, siempre que estén sujetados con cinturón de seguridad.","",b
45,"El uso del cinturón de seguridad es obligatorio para:","El conductor","El conductor y acompañante.","Todos los ocupantes del vehículo en movimiento.","",c
46,"El vehículo que Ud. conduce debe exhibir sus chapas patentes:","Colocadas fijas, en el lugar correspondiente, limpias y en buen estado de conservación, que permita su legibilidad.","Puedo llevarlas en el parabrisas y luneta trasera.","Es indistinto, siempre que las pueda exhibir frente a un control de los agentes de tránsito.","",a
47,"Ud. conductor de automóvil particular, radicado en la Ciudad de Córdoba, tiene la obligación de realizar la Inspección Técnica Vehicular (I.T.V.):","Si el vehículo tiene una antigüedad mayor a dos años y renovarla anualmente.","Si el vehículo tiene una antigüedad mayor a 3 años y renovarla semestralmente.","Si el vehículo tiene una antigüedad mayor a 2 años y renovarla semestralmente.","",a
48,"En proximidad de establecimientos escolares, deportivos o de gran afluencia de público, la velocidad no deberá superar los:","30 Km/h.","40 Km/h.","60 Km/h","",a
49,"¿En una circulación giratoria (rotonda) quién tiene prioridad de paso?","El vehículo que ingresa (entra) a la rotonda, ya que tiene prioridad de paso de mano derecha.","El vehículo que egresa (sale) de la rotonda.","","",b
50,"En una intersección semaforizada con luz intermitente roja, que advierte la presencia de cruce peligroso, debo efectuar el cruce:","A la misma velocidad con que circulaba.","A mínima velocidad y máxima precaución.","Detener la marcha y sólo reiniciarla cuando observe que no existe riesgo alguno.","",c
51,"¿Cuándo se pierde la prioridad de paso de mano derecha?","En avenidas.","Frente a la señal ""PARE"".","Nunca.","",b
52,"Las líneas pintadas en el pavimento de color blanco y continuas, indican:","La posibilidad de cambiar de carril.","La imposibilidad de cambiar de carril.","","",b
53,"La señal que indica el límite de velocidad máxima es: (Ver gráfico 11)","40 Km/h","35 Km/h","","",a
54,"El límite máximo de velocidad establecido en CALLES es:","50 Km/h.","40 Km/h.","60 Km/h.","",b
55,"En una intersección NO SEMAFORIZADA, la velocidad máxima es:","30 Km/h.","40 Km/h.","60 Km/h.","",a
56,"¿Cuándo se pierde la prioridad de paso de la mano derecha?","Cuando se desemboque de una vía de tierra a una pavimentada.","En avenidas.","Nunca.","",a
57,"El límite máximo de velocidad establecido en vías con semáforos coordinados es:","60km/h.","Velocidad de la onda verde.","40km/h.","",b
58,"La señal que indica la prohibición absoluta de estacionar y detenerse es: (Ver gráfico 12) [IMAGEN DE SEÑAL PROHIBIDO ESTACIONAR Y DETENERSE]","[Opción A con imagen de Prohibido Estacionar]","[Opción B con imagen de Prohibido Estacionar y Detenerse]","","",b
59,"La señal permite: (ver gráfico 13) [IMAGEN DE SEÑAL ESTACIONAMIENTO PERMITIDO]","El estacionamiento.","La detención para la operación de carga y descarga de mercaderías y/o para el ascenso y descenso de pasajeros, con permanencia del conductor en el vehículo.","","",b
60,"En vías que carezcan de dirección obligatoria señalizada, se entenderá:","Que la vía es de un solo sentido circulación (una sola mano).","Que la vía es de doble sentido circulación (doble mano).","","",b
61,"¿Si un vehículo nos quiere adelantar, qué indicación debo realizar para anunciarle que no puede hacerlo, pues se aproxima un vehículo de frente?","Luz de giro derecha.","Luz de baliza.","Luz de giro izquierda.","",c
62,"En un cruce NO SEMAFORIZADO, se produce un accidente en la senda peatonal, marcada o no. ¿Quién se presume responsable?","Al conductor.","Al peatón, ya que no cedió el paso al automóvil.","Al conductor si su vehículo circulaba a más de 40km/h.","",a
63,"¿Está permitido en un congestionamiento vehicular adelantarse por la banquina?","Sí.","No.","","",b
64,"Indique en qué lugar está permitido el adelantamiento:","En intersecciones (esquinas).","En vías con varios carriles de circulación en el mismo sentido.","En puentes, túneles, curvas.","",b
65,"¿Si un vehículo nos quiere adelantar, qué indicación debo realizar para anunciarle que puede hacerlo sin riesgo, ya que la vía se encuentra libre?","Luz de giro derecha.","Luz de baliza.","Ninguna indicación.","",a
66,"Indique cuál es la forma correcta de cruzar la calzada (pavimento) como peatón:","Por cualquier lugar de la calzada (pavimento), si no circulan vehículos.","Cuando no exista demarcación peatonal, por la prolongación imaginaria de la acera (vereda).","A mitad de cuadra.","",b
67,"En pasos peatonales a diferente nivel (aéreo o subterráneo). ¿El peatón está obligado a utilizarlos?","Sí.","No.","","",a
68,"¿Qué documentación NO es necesaria que lleve el conductor de un vehículo particular?","Licencia de conducir.","Cédula de identificación del vehículo.","Certificado de I.T.V., si correspondiere.","Libreta de salud.",d
69,"¿Si mi vehículo es a G.N.C. (gas natural comprimido), es obligatorio portar la documentación habilitante del equipo de G.N.C., y la tarjeta de revisión anual?","Sí.","No.","Es indistinto, porque puede convertir el combustible.","",a
70,"Ud. realizó el I.T.V. (Inspección Técnica Vehicular) y porta el certificado de aprobación, a posteriori circula sin paragolpes. ¿Le está permitido circular?","Sí, ya que poseo el certificado aprobado de I.T.V.","No, el paragolpes es un elemento de seguridad activa, mi vehículo puede ser removido de la vía pública por falta de seguridad.","","",b
71,"¿Cuál es el índice máximo permitido de alcohol en aire expirado para un conductor particular mayor de 21 años de edad en la Ciudad de Córdoba?","0,4 gr/l.","0,2 gr/l.","0,0 gr/l.","",a
72,"¿En qué casos la autoridad de control puede retener su licencia de conducir?","Por cruzar un semáforo en rojo.","Por conducir alcoholizado.","Por carecer el vehículo de ambas chapas patentes.","",b
73,"¿En qué situaciones puede girar en ""U""?","En esquinas semaforizadas con giro izquierdo.","A mitad de cuadra.","En ningún caso.","",c
74,"Ante un control vehicular, mi vehículo puede ser removido (trasladado por una grúa municipal) de la vía pública por:","Circular sin ambas chapas patentes.","Haberse vencido el tiempo del parquímetro.","Cruzar un semáforo en rojo.","",a
75,"Ante un control vehicular, mi vehículo puede ser removido (trasladado por una grúa municipal) de la vía pública por:","Circulo yo solo, y con la licencia de conducir vencida.","Circulo con licencia vencida, pero mi acompañante puede continuar conduciendo ya que posee la licencia en vigencia acorde a la categoría de mi vehículo.","Circulo sin seguro obligatorio.","",a
76,"¿En intersecciones NO semaforizadas puedo girar a la izquierda?","Sí.","No.","","",a
77,"¿En esta situación graficada, si conduzco el auto azul puedo girar a la izquierda? (Ver gráfico 14) [IMAGEN DE SEMÁFORO EN VERDE SIN FLECHA DE GIRO]","Sí, porque el semáforo está en verde.","No, porque al no tener el semáforo la flecha de giro izquierda (flecha verde), está prohibido girar.","Sí, si no viene ningún vehículo de frente.","",b
78,"Indique cual es la forma correcta de circular:","Conservando la derecha, por el centro del carril y en el sentido de circulación señalizado.","Por sobre la línea blanca discontinua del carril pintado sobre la calzada (pavimento) y en el sentido de circulación señalizado.","Por cualquier carril y en el sentido de circulación señalizado.","",a
79,"Indique ante qué situación puede circular por la calzada (pavimento) el peatón:","Cuando distribuya propaganda, venta o solicite contribuciones en la calzada (pavimento).","Cuando permanezca en la calzada (pavimento) conversando con el ocupante de un vehículo detenido.","Cuando cruce las intersecciones (esquina), por la senda que resulte de la prolongación imaginaria de las aceras (veredas).","",c
80,"¿El circular sin portar la licencia de conducir, es causal para que su vehículo sea removido de la vía pública?","Sí.","No.","No, porque exhibo la cédula de identificación de mi vehículo.","",a
81,"La señalización de tránsito debe obligatoriamente ser respetada por:","El conductor.","El conductor y peatón.","","",b
82,"¿En una avenida señalizada con la señal [IMAGEN DE VELOCIDAD MÁXIMA 40 KM/H] a qué velocidad máxima puede circular? (Ver gráfico 15)","60km/h","40km/h","","",b
83,"Al estar Ud. habilitado a conducir mediante ""la licencia de conducir correspondiente"", la misma implica:","Que Ud. acepta los controles y todo lo exigido por el Código de Tránsito de la Ciudad de Córdoba.","Que Ud. está habilitado, pero no por ello sujeto a controles.","Que Ud. acepta los controles, pero no está obligado a conocer todas las normativas de tránsito del la Ciudad de Córdoba.","",a
84,"Ud. conduce con licencia Categoría B (vehículos particulares). ¿Dicha licencia lo habilita a conducir motos?","Sí.","No.","Es indistinto, puede conducir vehículos particulares y motos.","",b
85,"Ud. posee licencia profesional ""Categoría Transporte Escolar"". ¿Dicha licencia lo habilita a conducir vehículos particulares?","Sí.","No.","","",b
86,"¿Es válida la licencia de conducir en la Ciudad de Córdoba. si fue otorgada por otro Municipio o Comuna, siendo que el titular de la misma se domicilia en la Ciudad de Córdoba?","Sí, siempre que se encuentre en vigencia.","No tiene validez, ya que la licencia debe ser otorgada por el municipio donde se domicilia el titular.","Si, siempre que el titular la porte, a los efectos de exhibirla ante la autoridad de control.","",b
87,"¿En qué plazo máximo debo denunciar obligatoriamente todo cambio de datos contenidos en mi licencia de conducir a los efectos de que no caduque la misma?","120 días.","90 días.","100 días.","",b
88,"¿Es obligatorio que la licencia de conducir esté firmada por el titular de la misma?","Sí.","No.","Es indistinto, siempre y cuando lleve la firma de la autoridad otorgante.","",a
89,"Al solicitar la licencia de conductor Ud. no usaba anteojos, al año usa anteojos. ¿Ud. tiene obligación de denunciar ante la oficina expedidora de licencias dicho cambio?","Sí.","No.","Es indistinto.","",a
90,"Ud. conduce un vehículo particular. ¿Puede circular por vías o carriles selectivos, dentro del horario de la selectividad?","Sí.","No.","No puedo circular por el carril selectivo, si el mismo se encuentra controlado por un agente de tránsito.","",b
91,"¿En una vía de sentido direccional único, puedo estacionar a mano izquierda?","Sí, estando expresamente permitido por la señal ""in situ"" (en el lugar).","Sí.","Nunca.","",a
92,"¿El uso de correajes (cinturón de seguridad) y cabezales normalizados, es obligatorio?","Sí.","No.","","",a
93,"¿Si Ud. conduce un vehículo sin limpiaparabrisas, puede ser sancionado por la autoridad de control?","Sí.","Sí, siempre que en el momento del control las condiciones climáticas sean adversas (lluvia, llovizna).","No.","",a
94,"¿Ud. puede ser sancionado con multa si el vehículo que conduce carece de espejos retrovisores?","Sí.","No.","","",a
95,"Su vehículo carece de guardabarros. ¿La autoridad de control puede trasladarlo con la grúa municipal sacándolo de circulación?","Sí.","No.","La autoridad de control puede labrarme acta de infracción, pero no puede impedir que continúe circulando.","",a
96,"¿Ante un control vehicular, si los neumáticos de mi vehículo no poseen el dibujo visible de las bandas de rodamiento, puede ser trasladado con la grúa municipal sacándolo de circulación?","Sí, porque constituye falta de seguridad activa.","No.","No, ya que estoy circulando por vías urbanas.","",a
97,"Ante un control vehicular mi vehículo excede los niveles de producción de humo y gases tóxicos. La autoridad de control puede:","Solamente labrar acta de infracción.","Labrar acta de infracción y trasladarlo con la grúa municipal sacándolo de circulación.","","",b
98,"Circulando con el certificado de I.T.V. aprobado, ante un control vehicular se comprueba que mi vehículo excede los niveles de humo y gases tóxicos admitidos, mi vehículo puede:","No ser sometido a control, ya que poseo certificado de ITV aprobado.","Ser sometido a control, pero no ser sancionado ya que poseo certificado de ITV aprobado.","Ser trasladado con la grúa municipal sacándolo de circulación ya que está en infracción y el certificado de ITV aprobado es al momento de la Inspección, después de la misma debo conservar el buen estado de mi vehículo.","",c
99,"¿Puedo reemplazar el depósito de combustible original de mi vehículo por otro receptáculo?","Sí, pero sólo temporariamente.","Está absolutamente prohibido.","","",b
100,"¿Es obligatorio circular con la documentación que acredite la cobertura del seguro de mi vehículo?","No, no es obligatorio el seguro.","Sí, debo circular con la póliza y la documentación que acredite que mi seguro se encuentra en vigencia.","","",b
101,"¿El portar la póliza del seguro, acredita que mi vehículo se encuentra asegurado?","Sí, lo acredita solamente exhibiendo la póliza del seguro.","No, debo exhibir la documentación que acredite que mi seguro se encuentra en vigencia al día del control por la autoridad competente.","","",b
102,"En caso de extravío o sustracción de las chapas patentes de mi vehículo, sólo podré circular:","Con denuncia policial por el extravío o sustracción.","Con autorización en vigencia otorgada por el Registro Nacional de la Propiedad del Automotor.","","",b
103,"¿Está permitido ascender o descender de un vehículo en movimiento?","No, está absolutamente prohibido.","Sí, siempre que el movimiento del vehículo sea mínimo.","Sí, siempre que el movimiento del vehículo sea mínimo y que quien va a descender o ascender observe que no pone en riesgo la seguridad de tránsito.","",a
104,"En una calzada (pavimento) con estacionamiento permitido, puedo estacionar:","Dentro de los cinco metros posteriores a la senda peatonal.","Después de los cinco metros posteriores a la senda peatonal.","Es indistinto, siempre que no estacione sobre la senda peatonal.","",b
105,"¿En una calzada (pavimento) donde NO exista prohibición de estacionamiento, puedo estacionar en parada de transporte público?","Sí, puedo estacionar ya que no hay señal de ""prohibido estacionar"".","No puedo estacionar, ya que está prohibido hacerlo dentro de los 10m a cada lado de las paradas de transporte público.","Puedo estacionar, pero solamente después de las 22 hs.","",b
106,"¿Está permitido que estacione mi vehículo en la entrada de mi garaje particular?","No, ya que está prohibido el estacionamiento frente a entradas de garajes.","No, ya que mi garaje está sobre mano izquierda.","Sí, puedo estacionar porque el garaje es de mi propiedad particular.","",a
107,"¿Está permitido estacionar vehículos en la calzada (pavimento) a los efectos de exponerlos para la venta?","Sí, siempre que esa calzada no se encuentre señalizada con prohibición de estacionamiento.","No, ya que está prohibido estacionar vehículos a los efectos de exhibirlos para su venta.","Sí, siempre que el estacionamiento para exhibición lo realice sobre mano derecha.","",b
108,"¿En horarios nocturnos, puedo estacionar frente al acceso de una playa de estacionamiento si la misma se encuentra cerrada en ese horario?","Sí, ya que es de noche y verifico que la playa de estacionamiento no funciona.","No, ya que está prohibido estacionar frente a accesos de playas de estacionamiento.","Sí, siempre que la playa de estacionamiento no esté funcionando y se encuentre ubicada sobre mano derecha.","",b
109,"¿Está permitido conducir el vehículo encolumnándolo a uno de emergencia para aprovechar la prioridad de paso de éste?","No, está absolutamente prohibido.","Sí, siempre que con mi circulación no entorpezca al vehículo de emergencia.","","",a
110,"Está permitido circular marcha atrás para:","Maniobras propias de estacionamiento.","Retomar otra calzada.","Girar en ""U"".","",a
111,"Está permitido circular marcha atrás para:","Retomar otra calzada.","Egresar de una calle sin salida.","Retomar la misma calzada pero en sentido contrario.","",b
112,"Está permitido circular marcha atrás para:","Egresar de un garaje.","Acceder a una calle transversal.","Retomar la misma calzada pero en sentido contrario.","",a
113,"¿En una vía de más de dos carriles de igual sentido de circulación, puedo efectuar el adelantamiento con maniobras zigzagueantes?","Sí, ya que es una vía multicarril.","No, los movimientos zigzagueantes están prohibidos.","Sí, siempre que esté atento a los riesgos del tránsito.","",b
114,"¿Estoy obligado a ceder el paso a un vehículo de emergencia (bombero, policía, ambulancia) si el mismo NO lleva encendidas sus señales lumínicas (balizas) y acústicas (sirena) de emergencia?","Sí, porque es un vehículo de emergencia.","No, mi obligación es cederles el paso cuando se encuentren en situación de emergencia, con sus señales lumínicas y acústicas en funcionamiento.","","",b
115,"¿Está permitido atravesar un paso a nivel con sistemas de seguridad en advertencia por la proximidad de un tren en circulación?","Sí, siempre que como conductor observe que el tren se encuentra lejos.","No, está absolutamente prohibido.","Sí, siempre que lo realice con marcha rápida y observando que puedo hacerlo antes que el tren que circula atraviese el paso a nivel.","",b
116,"¿En qué casos está permitido el adelantamiento por la derecha?","Está absolutamente prohibido.","Está permitido cuando por efectos de congestión del tránsito los vehículos que circulan por el carril izquierdo estén momentáneamente detenidos.","Está permitido siempre que lo realice por la banquina.","",b
117,"¿En que casos está permitido el adelantamiento por la derecha?","Cuando el vehículo que circula delante de mí ha colocado la luz de giro izquierda.","Nunca.","Siempre.","",a
118,"¿Si Ud. consume medicamentos que alteran sus facultades físicas y/o síquicas (sueño, cansancio, alteración visual, etc.), puede conducir?","Sí, ya estoy acostumbrado al consumo.","Está prohibido absolutamente, y como soy un conductor responsable no conduzco aunque sepa que no voy a ser controlado.","Sí conduzco, pero nunca de noche.","",b
119,"¿El uso de la bocina está permitido?","Siempre, al llegar a una intersección.","Sólo en caso de peligro.","Siempre.","",b
120,"¿El uso de la bocina está absolutamente prohibido?","Sí.","No, ya que está permitido su uso en caso de peligro.","No, ya que puedo utilizarla solamente de día en intersecciones.","",b
121,"El uso de la bocina está permitido:","Como señal acústica a los efectos de indicarle al vehículo que me precede (el vehículo que está adelante mío) que continúe circulando.","Sólo en caso de peligro.","","",b
122,"¿Ante la avería (rotura) de mi vehículo en caso de fuerza mayor, puedo ser remolcado por otro, utilizando una cadena o soga?","Sí, a los efectos de dejar la vía libre.","No, solamente puedo ser remolcado utilizando elementos rígidos de acople (lanza).","","",b
123,"Está permitido estacionar:","En las aceras (veredas).","En espacios verdes.","Sobre el costado derecho, atento al sentido de circulación, y a una distancia no menor de los 5m del borde de la senda peatonal demarcada o imaginaria.","",c
124,"Está permitido estacionar:","Sobre la acera (veredas) frente al ingreso de mi garaje.","En rotonda.","En el costado izquierdo de la calzada atento al sentido de circulación, señalizado con [E].","",c
125,"¿Está prohibido efectuar reparaciones en un vehículo sobre la calzada?","No, siempre que el mismo esté estacionado sobre mano derecha.","Sí está prohibido, excepto deba realizar la reparación a los efectos de poder desplazar mi vehículo para dejar la vía libre.","","",b
126,"¿Está permitido lavar los vehículos en la vía pública?","Sí, pero solamente fuera del área central.","Está absolutamente prohibido.","Sí, siempre que lo realice sobre la vereda.","",b
127,"¿Si conduzco una casa rodante o vehículo con trailer, puedo estacionar para pernoctar (dormir) sobre la calzada (pavimento)?","Sí, siempre que el estacionamiento lo efectúe sobre la manoderecha.","No.","Sí, está permitido solamente en espacios expresamente señalizados a tal fin.","",c
128,"Al egresar (salir) de una playa de estacionamiento hacia la calzada debo:","Ceder siempre el paso a los vehículos que circulan por la calzada (pavimento).","Egresar (salir) a mínima velocidad y máxima precaución, debiendo los vehículos que circulan por la calzada (pavimento) cederme el paso.","","",a
129,"¿Ante condiciones climatológicas adversas (llovizna, humo, lluvia, etc.) a qué velocidad debo circular?","A la velocidad máxima permitida para el tipo de vía por la que circulo.","A la velocidad mínima permitida para el tipo de vía por la que circulo.","A la velocidad mínima y precautoria, que me permita tener siempre el total dominio del vehículo, atento a la transitabilidad de la vía.","",c
130,"Esta señal [IMAGEN DE VELOCIDAD MÍNIMA 35 KM/H] indica: (Ver gráfico 16 )","Velocidad máxima.","Velocidad mínima.","","",b
131,"Esta señal [IMAGEN DE CALZADA RESBALADIZA] indica: (Ver gráfico 17)","Estrechamiento de calzada (pavimento).","Zona de derrumbes.","Calzada (pavimento) resbaladiza.","",c
132,"Esta señal [IMAGEN DE VELOCIDAD MÁXIMA 60 KM/H] indica: (Ver gráfico 15)","Velocidad mínima.","Velocidad máxima.","","",b
